"","Date","cityName","confirmedCount","curedCount","deadCount","index","NumNewCases","NumNewDeaths","NumNewRecovery"
"89",2020-03-18,"7th Division of the Corps",1,1,0,38,0,0,0
"90",2020-03-19,"7th Division of the Corps",1,1,0,39,0,0,0
"91",2020-03-20,"7th Division of the Corps",1,1,0,40,0,0,0
"92",2020-03-21,"7th Division of the Corps",1,1,0,41,0,0,0
"93",2020-03-22,"7th Division of the Corps",1,1,0,42,0,0,0
"94",2020-03-23,"7th Division of the Corps",1,1,0,43,0,0,0
"95",2020-03-24,"7th Division of the Corps",1,1,0,44,0,0,0
"96",2020-03-25,"7th Division of the Corps",1,1,0,45,0,0,0
"97",2020-02-06,"塔城",4,0,0,1,4,0,0
"98",2020-02-08,"密云区",4,0,0,1,4,0,0
"99",2020-02-09,"密云区",5,0,0,2,1,0,0
"100",2020-02-06,"万盛经开区",1,0,0,1,1,0,0
"101",2020-02-05,"保亭",2,0,0,1,2,0,0
"102",2020-02-06,"保亭",2,0,0,2,0,0,0
"103",2020-02-08,"四平市",10,0,1,1,10,1,0
"104",2020-02-09,"四平市",12,0,1,2,2,0,0
"105",2020-03-24,"境外输入",327,48,0,1,327,0,48
"106",2020-03-25,"境外输入",354,50,0,2,27,0,2
"107",2020-03-01,"境外输入人员",2,0,0,1,2,0,0
"108",2020-03-02,"境外输入人员",3,0,0,2,1,0,0
"109",2020-03-03,"境外输入人员",2,0,0,3,-1,0,0
"110",2020-03-04,"境外输入人员",4,0,0,4,2,0,0
"111",2020-03-05,"境外输入人员",16,0,0,5,12,0,0
"112",2020-03-06,"境外输入人员",40,0,0,6,24,0,0
"113",2020-03-07,"境外输入人员",44,0,0,7,4,0,0
"114",2020-03-08,"境外输入人员",50,0,0,8,6,0,0
"115",2020-03-09,"境外输入人员",50,0,0,9,0,0,0
"116",2020-03-10,"境外输入人员",54,0,0,10,4,0,0
"117",2020-03-11,"境外输入人员",63,0,0,11,9,0,0
"118",2020-03-12,"境外输入人员",63,0,0,12,0,0,0
"119",2020-03-13,"境外输入人员",67,0,0,13,4,0,0
"120",2020-03-14,"境外输入人员",76,0,0,14,9,0,0
"121",2020-03-15,"境外输入人员",86,2,0,15,10,0,2
"122",2020-03-16,"境外输入人员",99,4,0,16,13,0,2
"123",2020-03-17,"境外输入人员",110,5,0,17,11,0,1
"124",2020-03-18,"境外输入人员",126,8,0,18,16,0,3
"125",2020-03-19,"境外输入人员",141,9,0,19,15,0,1
"126",2020-03-20,"境外输入人员",169,17,0,20,28,0,8
"127",2020-03-21,"境外输入人员",198,32,0,21,29,0,15
"128",2020-03-22,"境外输入人员",231,35,0,22,33,0,3
"129",2020-03-23,"境外输入人员",303,41,0,23,72,0,6
"130",2020-03-24,"境外输入人员",22,0,0,24,-281,0,-41
"131",2020-03-25,"境外输入人员",28,0,0,25,6,0,0
"132",2020-02-11,"大理州",13,2,0,1,13,0,2
"133",2020-02-09,"宁东",1,0,0,1,1,0,0
"134",2020-02-06,"巴州",1,0,0,1,1,0,0
"135",2020-02-07,"兵团第七师",1,0,0,1,1,0,0
"136",2020-02-08,"兵团第七师",1,0,0,2,0,0,0
"137",2020-02-09,"兵团第七师",1,0,0,3,0,0,0
"138",2020-02-10,"兵团第四师",3,0,0,1,3,0,0
"139",2020-02-11,"兵团第四师",7,0,0,2,4,0,0
"140",2020-02-07,"兵团第八师石河子市",1,0,0,1,1,0,0
"141",2020-02-08,"兵团第八师石河子市",1,0,0,2,0,0,0
"142",2020-02-09,"兵团第八师石河子市",1,0,0,3,0,0,0
"143",2020-02-07,"兵团第六师五家渠市",1,0,0,1,1,0,0
"144",2020-02-08,"兵团第六师五家渠市",1,0,0,2,0,0,0
"145",2020-02-09,"兵团第六师五家渠市",1,0,0,3,0,0,0
"146",2020-02-08,"兵团第十二师",1,0,0,1,1,0,0
"147",2020-02-09,"兵团第十二师",1,0,0,2,0,0,0
"148",2020-02-07,"兵团第九师",4,0,0,1,4,0,0
"149",2020-02-08,"兵团第九师",4,0,0,2,0,0,0
"150",2020-02-09,"兵团第九师",4,0,0,3,0,0,0
"151",2020-02-14,"伊春",1,0,0,1,1,0,0
"152",2020-02-15,"伊春",1,0,0,2,0,0,0
"153",2020-02-16,"伊春",1,0,0,3,0,0,0
"154",2020-02-17,"伊春",1,0,0,4,0,0,0
"155",2020-02-18,"伊春",1,0,0,5,0,0,0
"156",2020-02-19,"伊春",1,0,0,6,0,0,0
"157",2020-02-11,"德宏州",5,0,0,1,5,0,0
"158",2020-02-06,"待明确",0,1,0,1,0,0,1
"159",2020-02-04,"Aba",1,0,0,1,1,0,0
"160",2020-02-05,"Aba",1,0,0,2,0,0,0
"161",2020-02-06,"Aba",1,0,0,3,0,0,0
"162",2020-02-07,"Aba",1,0,0,4,0,0,0
"163",2020-02-08,"Aba",1,0,0,5,0,0,0
"164",2020-02-09,"Aba",1,0,0,6,0,0,0
"165",2020-02-10,"Aba",1,0,0,7,0,0,0
"166",2020-02-11,"Aba",1,0,0,8,0,0,0
"167",2020-02-12,"Aba",1,0,0,9,0,0,0
"168",2020-02-13,"Aba",1,0,0,10,0,0,0
"169",2020-02-14,"Aba",1,0,0,11,0,0,0
"170",2020-02-15,"Aba",1,0,0,12,0,0,0
"171",2020-02-16,"Aba",1,0,0,13,0,0,0
"172",2020-02-17,"Aba",1,1,0,14,0,0,1
"173",2020-02-18,"Aba",1,1,0,15,0,0,0
"174",2020-02-19,"Aba",1,1,0,16,0,0,0
"175",2020-02-20,"Aba",1,1,0,17,0,0,0
"176",2020-02-21,"Aba",1,1,0,18,0,0,0
"177",2020-02-22,"Aba",1,1,0,19,0,0,0
"178",2020-02-23,"Aba",1,1,0,20,0,0,0
"179",2020-02-24,"Aba",1,1,0,21,0,0,0
"180",2020-02-25,"Aba",1,1,0,22,0,0,0
"181",2020-02-26,"Aba",1,1,0,23,0,0,0
"182",2020-02-27,"Aba",1,1,0,24,0,0,0
"183",2020-02-28,"Aba",1,1,0,25,0,0,0
"184",2020-02-29,"Aba",1,1,0,26,0,0,0
"185",2020-03-01,"Aba",1,1,0,27,0,0,0
"186",2020-03-02,"Aba",1,1,0,28,0,0,0
"187",2020-03-03,"Aba",1,1,0,29,0,0,0
"188",2020-03-04,"Aba",1,1,0,30,0,0,0
"189",2020-03-05,"Aba",1,1,0,31,0,0,0
"190",2020-03-06,"Aba",1,1,0,32,0,0,0
"191",2020-03-07,"Aba",1,1,0,33,0,0,0
"192",2020-03-08,"Aba",1,1,0,34,0,0,0
"193",2020-03-09,"Aba",1,1,0,35,0,0,0
"194",2020-03-10,"Aba",1,1,0,36,0,0,0
"195",2020-03-11,"Aba",1,1,0,37,0,0,0
"196",2020-03-12,"Aba",1,1,0,38,0,0,0
"197",2020-03-13,"Aba",1,1,0,39,0,0,0
"198",2020-03-14,"Aba",1,1,0,40,0,0,0
"199",2020-03-15,"Aba",1,1,0,41,0,0,0
"200",2020-03-16,"Aba",1,1,0,42,0,0,0
"201",2020-03-17,"Aba",1,1,0,43,0,0,0
"202",2020-03-18,"Aba",1,1,0,44,0,0,0
"203",2020-03-19,"Aba",1,1,0,45,0,0,0
"204",2020-03-20,"Aba",1,1,0,46,0,0,0
"205",2020-03-21,"Aba",1,1,0,47,0,0,0
"206",2020-03-22,"Aba",1,1,0,48,0,0,0
"207",2020-03-23,"Aba",1,1,0,49,0,0,0
"208",2020-03-24,"Aba",1,1,0,50,0,0,0
"209",2020-03-25,"Aba",1,1,0,51,0,0,0
"210",2020-02-11,"文山州",2,0,0,1,2,0,0
"211",2020-02-08,"武清区",1,0,0,1,1,0,0
"212",2020-02-09,"武清区",1,0,0,2,0,0,0
"213",2020-02-08,"昌吉州",2,0,0,1,2,0,0
"214",2020-02-09,"昌吉州",2,0,0,2,0,0,0
"215",2020-02-09,"梅河口",1,0,0,1,1,0,0
"216",2020-02-11,"楚雄州",4,0,0,1,4,0,0
"217",2020-02-06,"来宾",1,0,0,1,1,0,0
"218",2020-02-06,"未明确地区",0,27,1,1,0,1,27
"219",2020-02-04,"Aksu",1,0,0,1,1,0,0
"220",2020-02-05,"Aksu",1,0,0,2,0,0,0
"221",2020-02-06,"Aksu",1,0,0,3,0,0,0
"222",2020-02-07,"Aksu",1,0,0,4,0,0,0
"223",2020-02-10,"Aksu region",1,0,0,1,1,0,0
"224",2020-02-11,"Aksu region",1,0,0,2,0,0,0
"225",2020-02-12,"Aksu region",1,0,0,3,0,0,0
"226",2020-02-13,"Aksu region",1,1,0,4,0,0,1
"227",2020-02-14,"Aksu region",1,1,0,5,0,0,0
"228",2020-02-15,"Aksu region",1,1,0,6,0,0,0
"229",2020-02-16,"Aksu region",1,1,0,7,0,0,0
"230",2020-02-17,"Aksu region",1,1,0,8,0,0,0
"231",2020-02-18,"Aksu region",1,1,0,9,0,0,0
"232",2020-02-19,"Aksu region",1,1,0,10,0,0,0
"233",2020-02-20,"Aksu region",1,1,0,11,0,0,0
"234",2020-02-21,"Aksu region",1,1,0,12,0,0,0
"235",2020-02-22,"Aksu region",1,1,0,13,0,0,0
"236",2020-02-23,"Aksu region",1,1,0,14,0,0,0
"237",2020-02-24,"Aksu region",1,1,0,15,0,0,0
"238",2020-02-25,"Aksu region",1,1,0,16,0,0,0
"239",2020-02-26,"Aksu region",1,1,0,17,0,0,0
"240",2020-02-27,"Aksu region",1,1,0,18,0,0,0
"241",2020-02-28,"Aksu region",1,1,0,19,0,0,0
"242",2020-02-29,"Aksu region",1,1,0,20,0,0,0
"243",2020-03-01,"Aksu region",1,1,0,21,0,0,0
"244",2020-03-02,"Aksu region",1,1,0,22,0,0,0
"245",2020-03-03,"Aksu region",1,1,0,23,0,0,0
"246",2020-03-04,"Aksu region",1,1,0,24,0,0,0
"247",2020-03-05,"Aksu region",1,1,0,25,0,0,0
"248",2020-03-06,"Aksu region",1,1,0,26,0,0,0
"249",2020-03-07,"Aksu region",1,1,0,27,0,0,0
"250",2020-03-08,"Aksu region",1,1,0,28,0,0,0
"251",2020-03-09,"Aksu region",1,1,0,29,0,0,0
"252",2020-03-10,"Aksu region",1,1,0,30,0,0,0
"253",2020-03-11,"Aksu region",1,1,0,31,0,0,0
"254",2020-03-12,"Aksu region",1,1,0,32,0,0,0
"255",2020-03-13,"Aksu region",1,1,0,33,0,0,0
"256",2020-03-14,"Aksu region",1,1,0,34,0,0,0
"257",2020-03-15,"Aksu region",1,1,0,35,0,0,0
"258",2020-03-16,"Aksu region",1,1,0,36,0,0,0
"259",2020-03-17,"Aksu region",1,1,0,37,0,0,0
"260",2020-03-18,"Aksu region",1,1,0,38,0,0,0
"261",2020-03-19,"Aksu region",1,1,0,39,0,0,0
"262",2020-03-20,"Aksu region",1,1,0,40,0,0,0
"263",2020-03-21,"Aksu region",1,1,0,41,0,0,0
"264",2020-03-22,"Aksu region",1,1,0,42,0,0,0
"265",2020-03-23,"Aksu region",1,1,0,43,0,0,0
"266",2020-03-24,"Aksu region",1,1,0,44,0,0,0
"267",2020-03-25,"Aksu region",1,1,0,45,0,0,0
"268",2020-02-04,"Ankang",17,0,0,1,17,0,0
"269",2020-02-05,"Ankang",19,1,0,2,2,0,1
"270",2020-02-06,"Ankang",21,1,0,3,2,0,0
"271",2020-02-07,"Ankang",21,1,0,4,0,0,0
"272",2020-02-08,"Ankang",21,1,0,5,0,0,0
"273",2020-02-09,"Ankang",21,5,0,6,0,0,4
"274",2020-02-10,"Ankang",22,5,0,7,1,0,0
"275",2020-02-11,"Ankang",22,5,0,8,0,0,0
"276",2020-02-12,"Ankang",22,5,0,9,0,0,0
"277",2020-02-13,"Ankang",22,5,0,10,0,0,0
"278",2020-02-14,"Ankang",23,5,0,11,1,0,0
"279",2020-02-15,"Ankang",24,5,0,12,1,0,0
"280",2020-02-16,"Ankang",24,7,0,13,0,0,2
"281",2020-02-17,"Ankang",25,7,0,14,1,0,0
"282",2020-02-18,"Ankang",25,10,0,15,0,0,3
"283",2020-02-19,"Ankang",25,15,0,16,0,0,5
"284",2020-02-20,"Ankang",26,15,0,17,1,0,0
"285",2020-02-21,"Ankang",26,16,0,18,0,0,1
"286",2020-02-22,"Ankang",26,16,0,19,0,0,0
"287",2020-02-23,"Ankang",26,17,0,20,0,0,1
"288",2020-02-24,"Ankang",26,17,0,21,0,0,0
"289",2020-02-25,"Ankang",26,20,0,22,0,0,3
"290",2020-02-26,"Ankang",26,20,0,23,0,0,0
"291",2020-02-27,"Ankang",26,20,0,24,0,0,0
"292",2020-02-28,"Ankang",26,20,0,25,0,0,0
"293",2020-02-29,"Ankang",26,23,0,26,0,0,3
"294",2020-03-01,"Ankang",26,23,0,27,0,0,0
"295",2020-03-02,"Ankang",26,25,0,28,0,0,2
"296",2020-03-03,"Ankang",26,25,0,29,0,0,0
"297",2020-03-04,"Ankang",26,25,0,30,0,0,0
"298",2020-03-05,"Ankang",26,25,0,31,0,0,0
"299",2020-03-06,"Ankang",26,25,0,32,0,0,0
"300",2020-03-07,"Ankang",26,25,0,33,0,0,0
"301",2020-03-08,"Ankang",26,25,0,34,0,0,0
"302",2020-03-09,"Ankang",26,25,0,35,0,0,0
"303",2020-03-10,"Ankang",26,25,0,36,0,0,0
"304",2020-03-11,"Ankang",26,26,0,37,0,0,1
"305",2020-03-12,"Ankang",26,26,0,38,0,0,0
"306",2020-03-13,"Ankang",26,26,0,39,0,0,0
"307",2020-03-14,"Ankang",26,26,0,40,0,0,0
"308",2020-03-15,"Ankang",26,26,0,41,0,0,0
"309",2020-03-16,"Ankang",26,26,0,42,0,0,0
"310",2020-03-17,"Ankang",26,26,0,43,0,0,0
"311",2020-03-18,"Ankang",26,26,0,44,0,0,0
"312",2020-03-19,"Ankang",26,26,0,45,0,0,0
"313",2020-03-20,"Ankang",26,26,0,46,0,0,0
"314",2020-03-21,"Ankang",26,26,0,47,0,0,0
"315",2020-03-22,"Ankang",26,26,0,48,0,0,0
"316",2020-03-23,"Ankang",26,26,0,49,0,0,0
"317",2020-03-24,"Ankang",26,26,0,50,0,0,0
"318",2020-03-25,"Ankang",26,26,0,51,0,0,0
"319",2020-02-04,"Anqing",55,3,0,1,55,0,3
"320",2020-02-05,"Anqing",56,3,0,2,1,0,0
"321",2020-02-06,"Anqing",60,3,0,3,4,0,0
"322",2020-02-07,"Anqing",66,6,0,4,6,0,3
"323",2020-02-08,"Anqing",71,6,0,5,5,0,0
"324",2020-02-09,"Anqing",75,12,0,6,4,0,6
"325",2020-02-10,"Anqing",78,15,0,7,3,0,3
"326",2020-02-11,"Anqing",80,15,0,8,2,0,0
"327",2020-02-12,"Anqing",80,15,0,9,0,0,0
"328",2020-02-13,"Anqing",80,29,0,10,0,0,14
"329",2020-02-14,"Anqing",81,32,0,11,1,0,3
"330",2020-02-15,"Anqing",82,33,0,12,1,0,1
"331",2020-02-16,"Anqing",82,34,0,13,0,0,1
"332",2020-02-17,"Anqing",83,34,0,14,1,0,0
"333",2020-02-18,"Anqing",83,39,0,15,0,0,5
"334",2020-02-19,"Anqing",83,44,0,16,0,0,5
"335",2020-02-20,"Anqing",83,53,0,17,0,0,9
"336",2020-02-21,"Anqing",83,55,0,18,0,0,2
"337",2020-02-22,"Anqing",83,61,0,19,0,0,6
"338",2020-02-23,"Anqing",83,65,0,20,0,0,4
"339",2020-02-24,"Anqing",83,69,0,21,0,0,4
"340",2020-02-25,"Anqing",83,69,0,22,0,0,0
"341",2020-02-26,"Anqing",83,74,0,23,0,0,5
"342",2020-02-27,"Anqing",83,79,0,24,0,0,5
"343",2020-02-28,"Anqing",83,79,0,25,0,0,0
"344",2020-02-29,"Anqing",83,80,0,26,0,0,1
"345",2020-03-01,"Anqing",83,82,0,27,0,0,2
"346",2020-03-02,"Anqing",83,82,0,28,0,0,0
"347",2020-03-03,"Anqing",83,82,0,29,0,0,0
"348",2020-03-04,"Anqing",83,83,0,30,0,0,1
"349",2020-03-05,"Anqing",83,83,0,31,0,0,0
"350",2020-03-06,"Anqing",83,83,0,32,0,0,0
"351",2020-03-07,"Anqing",83,83,0,33,0,0,0
"352",2020-03-08,"Anqing",83,83,0,34,0,0,0
"353",2020-03-09,"Anqing",83,83,0,35,0,0,0
"354",2020-03-10,"Anqing",83,83,0,36,0,0,0
"355",2020-03-11,"Anqing",83,83,0,37,0,0,0
"356",2020-03-12,"Anqing",83,83,0,38,0,0,0
"357",2020-03-13,"Anqing",83,83,0,39,0,0,0
"358",2020-03-14,"Anqing",83,83,0,40,0,0,0
"359",2020-03-15,"Anqing",83,83,0,41,0,0,0
"360",2020-03-16,"Anqing",83,83,0,42,0,0,0
"361",2020-03-17,"Anqing",83,83,0,43,0,0,0
"362",2020-03-18,"Anqing",83,83,0,44,0,0,0
"363",2020-03-19,"Anqing",83,83,0,45,0,0,0
"364",2020-03-20,"Anqing",83,83,0,46,0,0,0
"365",2020-03-21,"Anqing",83,83,0,47,0,0,0
"366",2020-03-22,"Anqing",83,83,0,48,0,0,0
"367",2020-03-23,"Anqing",83,83,0,49,0,0,0
"368",2020-03-24,"Anqing",83,83,0,50,0,0,0
"369",2020-03-25,"Anqing",83,83,0,51,0,0,0
"370",2020-02-04,"Anshan",1,0,0,1,1,0,0
"371",2020-02-05,"Anshan",1,0,0,2,0,0,0
"372",2020-02-06,"Anshan",3,0,0,3,2,0,0
"373",2020-02-07,"Anshan",3,0,0,4,0,0,0
"374",2020-02-08,"Anshan",3,0,0,5,0,0,0
"375",2020-02-09,"Anshan",3,0,0,6,0,0,0
"376",2020-02-10,"Anshan",3,0,0,7,0,0,0
"377",2020-02-11,"Anshan",3,0,0,8,0,0,0
"378",2020-02-12,"Anshan",3,0,0,9,0,0,0
"379",2020-02-13,"Anshan",3,0,0,10,0,0,0
"380",2020-02-14,"Anshan",4,0,0,11,1,0,0
"381",2020-02-15,"Anshan",4,0,0,12,0,0,0
"382",2020-02-16,"Anshan",4,0,0,13,0,0,0
"383",2020-02-17,"Anshan",4,0,0,14,0,0,0
"384",2020-02-18,"Anshan",4,0,0,15,0,0,0
"385",2020-02-19,"Anshan",4,0,0,16,0,0,0
"386",2020-02-20,"Anshan",4,0,0,17,0,0,0
"387",2020-02-21,"Anshan",4,0,0,18,0,0,0
"388",2020-02-22,"Anshan",4,0,0,19,0,0,0
"389",2020-02-23,"Anshan",4,0,0,20,0,0,0
"390",2020-02-24,"Anshan",4,0,0,21,0,0,0
"391",2020-02-25,"Anshan",4,0,0,22,0,0,0
"392",2020-02-26,"Anshan",4,0,0,23,0,0,0
"393",2020-02-27,"Anshan",4,1,0,24,0,0,1
"394",2020-02-28,"Anshan",4,1,0,25,0,0,0
"395",2020-02-29,"Anshan",4,1,0,26,0,0,0
"396",2020-03-01,"Anshan",4,2,0,27,0,0,1
"397",2020-03-02,"Anshan",4,2,0,28,0,0,0
"398",2020-03-03,"Anshan",4,3,0,29,0,0,1
"399",2020-03-04,"Anshan",4,3,0,30,0,0,0
"400",2020-03-05,"Anshan",4,3,0,31,0,0,0
"401",2020-03-06,"Anshan",4,3,0,32,0,0,0
"402",2020-03-07,"Anshan",4,3,0,33,0,0,0
"403",2020-03-08,"Anshan",4,4,0,34,0,0,1
"404",2020-03-09,"Anshan",4,4,0,35,0,0,0
"405",2020-03-10,"Anshan",4,4,0,36,0,0,0
"406",2020-03-11,"Anshan",4,4,0,37,0,0,0
"407",2020-03-12,"Anshan",4,4,0,38,0,0,0
"408",2020-03-13,"Anshan",4,4,0,39,0,0,0
"409",2020-03-14,"Anshan",4,4,0,40,0,0,0
"410",2020-03-15,"Anshan",4,4,0,41,0,0,0
"411",2020-03-16,"Anshan",4,4,0,42,0,0,0
"412",2020-03-17,"Anshan",4,4,0,43,0,0,0
"413",2020-03-18,"Anshan",4,4,0,44,0,0,0
"414",2020-03-19,"Anshan",4,4,0,45,0,0,0
"415",2020-03-20,"Anshan",4,4,0,46,0,0,0
"416",2020-03-21,"Anshan",4,4,0,47,0,0,0
"417",2020-03-22,"Anshan",4,4,0,48,0,0,0
"418",2020-03-23,"Anshan",4,4,0,49,0,0,0
"419",2020-03-24,"Anshan",4,4,0,50,0,0,0
"420",2020-03-25,"Anshan",4,4,0,51,0,0,0
"421",2020-02-04,"Anshun",2,0,0,1,2,0,0
"422",2020-02-05,"Anshun",3,0,0,2,1,0,0
"423",2020-02-06,"Anshun",3,0,0,3,0,0,0
"424",2020-02-07,"Anshun",4,0,0,4,1,0,0
"425",2020-02-08,"Anshun",4,0,0,5,0,0,0
"426",2020-02-09,"Anshun",4,0,0,6,0,0,0
"427",2020-02-10,"Anshun",4,0,0,7,0,0,0
"428",2020-02-11,"Anshun",4,0,0,8,0,0,0
"429",2020-02-12,"Anshun",4,0,0,9,0,0,0
"430",2020-02-13,"Anshun",4,0,0,10,0,0,0
"431",2020-02-14,"Anshun",4,0,0,11,0,0,0
"432",2020-02-15,"Anshun",4,0,0,12,0,0,0
"433",2020-02-16,"Anshun",4,1,0,13,0,0,1
"434",2020-02-17,"Anshun",4,1,0,14,0,0,0
"435",2020-02-18,"Anshun",4,1,0,15,0,0,0
"436",2020-02-19,"Anshun",4,1,0,16,0,0,0
"437",2020-02-20,"Anshun",4,1,0,17,0,0,0
"438",2020-02-21,"Anshun",4,1,0,18,0,0,0
"439",2020-02-22,"Anshun",4,1,0,19,0,0,0
"440",2020-02-23,"Anshun",4,1,0,20,0,0,0
"441",2020-02-24,"Anshun",4,3,0,21,0,0,2
"442",2020-02-25,"Anshun",4,3,0,22,0,0,0
"443",2020-02-26,"Anshun",4,3,0,23,0,0,0
"444",2020-02-27,"Anshun",4,4,0,24,0,0,1
"445",2020-02-28,"Anshun",4,4,0,25,0,0,0
"446",2020-02-29,"Anshun",4,4,0,26,0,0,0
"447",2020-03-01,"Anshun",4,4,0,27,0,0,0
"448",2020-03-02,"Anshun",4,4,0,28,0,0,0
"449",2020-03-03,"Anshun",4,4,0,29,0,0,0
"450",2020-03-04,"Anshun",4,4,0,30,0,0,0
"451",2020-03-05,"Anshun",4,4,0,31,0,0,0
"452",2020-03-06,"Anshun",4,4,0,32,0,0,0
